GeneSymbol,Statements,GPT-4 M US,GPT-4 M Thai,Claude-3,GPT-4 Qatar
GBP4,f. Potential value as a blood transcriptional biomarker,5.333333333,4.333333333,5,3.66666667
GBP4,g. Known drug target,2.333333333,2,1,1
GBP4,h. Therapeutically relevant for immune system diseases,6,4.666666667,5,5
GBP5,a. Association with type I interferon responses,3.666666667,4,9,4.33333333
GBP5,b. Association with type II interferon responses,9.666666667,9.333333333,9,8.66666667
GBP5,c. Association with type III interferon responses,4.666666667,4.666666667,6,2.66666667
GBP5,d. Relevance to circulating leukocytes immune biology,7.666666667,7,8,7.66666667
GBP5,e. Used as a biomarker in clinical settings,4.333333333,5.333333333,4,3.33333333
GBP5,f. Potential value as a blood transcriptional biomarker,5.666666667,6,7,5
GBP5,g. Known drug target,2.666666667,3.666666667,4,1.33333333
GBP5,h. Therapeutically relevant for immune system diseases,7,6,7,6.66666667
IFI35,a. Association with type I interferon responses,8,8.333333333,10,7.33333333
IFI35,b. Association with type II interferon responses,5.333333333,5.666666667,3,5.66666667
IFI35,c. Association with type III interferon responses,5,4.333333333,2,2.33333333
IFI35,d. Relevance to circulating leukocytes immune biology,6.666666667,5,7,5.66666667
IFI35,e. Used as a biomarker in clinical settings,4.666666667,5,1,1.66666667
IFI35,f. Potential value as a blood transcriptional biomarker,6,5.333333333,6,4
IFI35,g. Known drug target,3,2.666666667,1,1.33333333
IFI35,h. Therapeutically relevant for immune system diseases,5.666666667,5,5,5.33333333
IFIH1,a. Association with type I interferon responses,10,10,10,9.33333333
IFIH1,b. Association with type II interferon responses,5.666666667,5.666666667,4,4.66666667
IFIH1,c. Association with type III interferon responses,7.666666667,7.666666667,7,5.33333333
IFIH1,d. Relevance to circulating leukocytes immune biology,8.666666667,7.666666667,9,7.66666667
IFIH1,e. Used as a biomarker in clinical settings,6.666666667,5.333333333,4,2.66666667
IFIH1,f. Potential value as a blood transcriptional biomarker,7.666666667,6.333333333,7,5.66666667
IFIH1,g. Known drug target,6.333333333,7,4,5
IFIH1,h. Therapeutically relevant for immune system diseases,8.333333333,8.333333333,9,7.66666667
IFIT2,a. Association with type I interferon responses,9.333333333,9.333333333,10,9
IFIT2,b. Association with type II interferon responses,5.333333333,5.333333333,6,5.33333333
IFIT2,c. Association with type III interferon responses,6.666666667,7,8,5
IFIT2,d. Relevance to circulating leukocytes immune biology,7.666666667,5.666666667,8,5.66666667
IFIT2,e. Used as a biomarker in clinical settings,6.333333333,5.333333333,4,2
IFIT2,f. Potential value as a blood transcriptional biomarker,7.333333333,6.333333333,7,4.66666667
IFIT2,g. Known drug target,4.333333333,3.333333333,3,2.66666667
IFIT2,h. Therapeutically relevant for immune system diseases,7,6.666666667,7,6.33333333
IFIT5,a. Association with type I interferon responses,9.333333333,9,9,8.66666667
IFIT5,b. Association with type II interferon responses,4.333333333,5.333333333,4,4
IFIT5,c. Association with type III interferon responses,6.333333333,6.666666667,7,4.33333333
IFIT5,d. Relevance to circulating leukocytes immune biology,7.333333333,5,7,5
IFIT5,e. Used as a biomarker in clinical settings,5.666666667,4.666666667,3,2
IFIT5,f. Potential value as a blood transcriptional biomarker,7,5.666666667,6,4.66666667
IFIT5,g. Known drug target,3.333333333,2.666666667,3,1.33333333
IFIT5,h. Therapeutically relevant for immune system diseases,6.333333333,6,5,6
IRF7,a. Association with type I interferon responses,10,10,10,10
IRF7,b. Association with type II interferon responses,5.666666667,5.333333333,4,4
IRF7,c. Association with type III interferon responses,8,7.333333333,6,5.33333333
IRF7,d. Relevance to circulating leukocytes immune biology,9,8.333333333,9,8
IRF7,e. Used as a biomarker in clinical settings,6.666666667,5,4,3
IRF7,f. Potential value as a blood transcriptional biomarker,7.666666667,6,8,5.33333333
IRF7,g. Known drug target,6.666666667,6.333333333,5,3.66666667
IRF7,h. Therapeutically relevant for immune system diseases,8.333333333,7.666666667,8,7.66666667
LAP3,a. Association with type I interferon responses,1.333333333,2,2,1
LAP3,b. Association with type II interferon responses,1.333333333,2.666666667,2,1
LAP3,c. Association with type III interferon responses,1.333333333,2,1,1
LAP3,d. Relevance to circulating leukocytes immune biology,2.333333333,4,3,2
LAP3,e. Used as a biomarker in clinical settings,1.666666667,4.333333333,1,0.33333333
LAP3,f. Potential value as a blood transcriptional biomarker,1.666666667,3,2,1.33333333
LAP3,g. Known drug target,2,4.666666667,1,0.66666667
LAP3,h. Therapeutically relevant for immune system diseases,2,4,2,1
OAS2,a. Association with type I interferon responses,9.333333333,10,10,9.33333333
OAS2,b. Association with type II interferon responses,5.666666667,6.666666667,7,5
OAS2,c. Association with type III interferon responses,7,6.333333333,8,4.66666667
OAS2,d. Relevance to circulating leukocytes immune biology,8,7.666666667,9,6.33333333
OAS2,e. Used as a biomarker in clinical settings,6.666666667,6,4,3.66666667
OAS2,f. Potential value as a blood transcriptional biomarker,7.666666667,7,8,5.66666667
OAS2,g. Known drug target,5.666666667,4.666666667,4,3.33333333
OAS2,h. Therapeutically relevant for immune system diseases,7.666666667,7,8,7
PARP12,a. Association with type I interferon responses,7.666666667,8.666666667,9,6.66666667
PARP12,b. Association with type II interferon responses,4.666666667,6,8,3.33333333
PARP12,c. Association with type III interferon responses,5.666666667,6.333333333,4,3
PARP12,d. Relevance to circulating leukocytes immune biology,6.333333333,5.666666667,7,5.33333333
PARP12,e. Used as a biomarker in clinical settings,5,5.333333333,2,2
PARP12,f. Potential value as a blood transcriptional biomarker,6,6.333333333,6,4.33333333
PARP12,g. Known drug target,4.333333333,4,3,2.66666667
PARP12,h. Therapeutically relevant for immune system diseases,6.333333333,6.333333333,6,5
PARP14,a. Association with type I interferon responses,6.333333333,5.333333333,9,6.33333333
PARP14,b. Association with type II interferon responses,5,6,8,4.33333333
PARP14,c. Association with type III interferon responses,4.333333333,4.333333333,4,2.66666667
PARP14,d. Relevance to circulating leukocytes immune biology,6.666666667,7,7,6
PARP14,e. Used as a biomarker in clinical settings,5,4.666666667,2,2
PARP14,f. Potential value as a blood transcriptional biomarker,5.666666667,4.666666667,6,4
PARP14,g. Known drug target,5,6,3,4
PARP14,h. Therapeutically relevant for immune system diseases,6.666666667,7,6,6
SAMD9L,a. Association with type I interferon responses,7.666666667,8.333333333,9,7
SAMD9L,b. Association with type II interferon responses,4.666666667,6.333333333,8,4
SAMD9L,c. Association with type III interferon responses,5.666666667,6,4,2.66666667
SAMD9L,d. Relevance to circulating leukocytes immune biology,6.666666667,6,8,4.66666667
SAMD9L,e. Used as a biomarker in clinical settings,5,5.666666667,4,2
SAMD9L,f. Potential value as a blood transcriptional biomarker,6,6.333333333,7,4
SAMD9L,g. Known drug target,4,4.333333333,3,2
SAMD9L,h. Therapeutically relevant for immune system diseases,6,7,7,5.33333333
SCO2,a. Association with type I interferon responses,0.666666667,1,1,1
SCO2,b. Association with type II interferon responses,0.666666667,1,1,1
SCO2,c. Association with type III interferon responses,0.666666667,1,1,1
SCO2,d. Relevance to circulating leukocytes immune biology,1.333333333,2,3,1.33333333
SCO2,e. Used as a biomarker in clinical settings,1,3,2,0.33333333
SCO2,f. Potential value as a blood transcriptional biomarker,1,1.333333333,2,0.66666667
SCO2,g. Known drug target,0.666666667,2.666666667,1,1
SCO2,h. Therapeutically relevant for immune system diseases,0.666666667,1.666666667,2,1.33333333
STAT1,a. Association with type I interferon responses,10,10,10,10
STAT1,b. Association with type II interferon responses,10,10,10,9.66666667
STAT1,c. Association with type III interferon responses,9,9,8,6.66666667
STAT1,d. Relevance to circulating leukocytes immune biology,10,10,9,9.66666667
STAT1,e. Used as a biomarker in clinical settings,7.666666667,6.666666667,5,4.66666667
STAT1,f. Potential value as a blood transcriptional biomarker,8.666666667,7.333333333,8,7
STAT1,g. Known drug target,7.666666667,7.333333333,6,6
STAT1,h. Therapeutically relevant for immune system diseases,9.333333333,9,9,9
TRIM22,a. Association with type I interferon responses,9,9,9,8.66666667
TRIM22,b. Association with type II interferon responses,6,6.333333333,8,4.66666667
TRIM22,c. Association with type III interferon responses,6.333333333,6.333333333,4,4
TRIM22,d. Relevance to circulating leukocytes immune biology,7.666666667,7.666666667,8,6.66666667
TRIM22,e. Used as a biomarker in clinical settings,6.333333333,5.666666667,4,2.66666667
TRIM22,f. Potential value as a blood transcriptional biomarker,7.333333333,6.666666667,7,5
TRIM22,g. Known drug target,5,4.666666667,3,2.66666667
TRIM22,h. Therapeutically relevant for immune system diseases,7,7.333333333,7,6.33333333
ZBP1,a. Association with type I interferon responses,9,9,9,9
ZBP1,b. Association with type II interferon responses,5.666666667,6,4,5.33333333
ZBP1,c. Association with type III interferon responses,6.666666667,7,6,4.33333333
ZBP1,d. Relevance to circulating leukocytes immune biology,8.333333333,8,8,7.33333333
ZBP1,e. Used as a biomarker in clinical settings,6.333333333,5.666666667,4,2.66666667
ZBP1,f. Potential value as a blood transcriptional biomarker,7.333333333,6.666666667,7,5
ZBP1,g. Known drug target,5.333333333,5,3,3.33333333
ZBP1,h. Therapeutically relevant for immune system diseases,7.333333333,7.333333333,7,7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
